article_id,full_name,sex,birth_year,death_year,city,state,country,continent,latitude,longitude,occupation,industry,domain,article_languages,page_views,average_views,historical_popularity_index
25879,Roger Bacon,Male,1220,1292,Ilchester,,United Kingdom,Europe,51.0011,-2.6825,Philosopher,Philosophy,Humanities,48,2421713,50452,26.7188
18085095,Sneferu,Male,-2600,-2589,Other,,Unknown,Unknown,,,Politician,Government,Institutions,42,957249,22792,26.7041
3414021,George Bush,Male,1946,2020,New Haven,CT,United States,North America,41.31,-72.92361,Politician,Government,Institutions,143,42866705,299767,26.6982
26940,Steven Spielberg,Male,1946,2020,Cincinnati,OH,United States,North America,39.1,-84.51667,Film Director,Film And Theatre,Arts,97,29240531,301449,26.6854
23408931,Snorri Sturluson,Male,1179,1241,Iceland,,Iceland,Europe,65,-18,Writer,Language,Humanities,53,1380290,26043,26.6718
26308,Rudyard Kipling,Male,1865,1936,Mumbai,,India,Asia,18.975,72.82583,Writer,Language,Humanities,89,9676648,108726,26.6693
12787,Geoffrey Chaucer,Male,1343,1400,London,,United Kingdom,Europe,51.50722,-0.1275,Writer,Language,Humanities,93,5729927,61612,26.6692
99425,Diodorus Siculus,Male,-90,-30,Agira,,Italy,Europe,37.65,14.51667,Historian,History,Humanities,49,1230056,25103,26.6687
319102,Ashurbanipal,Male,-685,-631,Other,,Unknown,Unknown,,,Politician,Government,Institutions,47,1303017,27724,26.6675
30535,Theodore Roosevelt,Male,1858,1919,New York,NY,United States,North America,40.79028,-73.95972,Politician,Government,Institutions,97,24189918,249381,26.63
85836,Erik the Red,Male,950,1003,Other,,Iceland,Europe,61,8,Explorer,Explorers,Exploration,47,2510710,53419,26.6231
49080,Georg Ohm,Male,1789,1854,Erlangen,,Germany,Europe,49.58333,11.01667,Physicist,Natural Sciences,Science & Technology,69,3154469,45717,26.622
42068,Freddie Mercury,Male,1946,1991,Stone Town,,Tanzania,Africa,-6.16494,39.19879,Musician,Music,Arts,75,56680942,755746,26.6178
52487,Ivan Pavlov,Male,1849,1936,Ryazan,,Russia,Europe,54.6,39.7,Biologist,Natural Sciences,Science & Technology,70,8262195,118031,26.613
72187,J. M. W. Turner,Male,1775,1851,Covent Garden,,United Kingdom,Europe,51.51197,-0.1228,Painter,Fine Arts,Arts,54,6107274,113098,26.6119
12232,Gustave Eiffel,Male,1832,1923,Dijon,,France,Europe,47.2906,5.0428,Engineer,Engineering,Science & Technology,64,5250505,82039,26.6038
12104,Guglielmo Marconi,Male,1874,1937,Bologna,,Italy,Europe,44.5075,11.35139,Inventor,Invention,Science & Technology,84,6016312,71623,26.5764
67377,Ho Chi Minh,Male,1890,1969,Nghe An Province,,Vietnam,Asia,18.88333,105.31667,Politician,Government,Institutions,87,13635603,156731,26.574
16121,Joshua,Male,-1355,-1245,Other,,Egypt,Africa,,,Religious Figure,Religion,Institutions,41,3819284,93153,26.5633
12804,Grigori Rasputin,Male,1869,1916,Pokrovskoye,,Russia,Europe,57.2425,66.79056,Public Worker,Government,Institutions,61,17481595,286584,26.5615
50237,Robert Boyle,Male,1627,1691,Lismore,,Ireland,Europe,52.139,-7.933,Chemist,Natural Sciences,Science & Technology,69,4517660,65473,26.5609
243471,Nimrod (if existed),Male,-3500,-3400,Other,,Unknown,Unknown,,,Religious Figure,Religion,Institutions,38,3573828,94048,26.5561
21476708,Sargon of Akkad,Male,-2360,-2284,Azupiranu,,Iraq,Asia,,,Politician,Government,Institutions,46,2144427,46618,26.5535
18933396,Augusto Pinochet,Male,1915,2006,Valparaíso,,Chile,South America,-33.05,-71.61667,Politician,Government,Institutions,76,9359759,123155,26.5202
49644,Jean Sibelius,Male,1865,1957,Hämeenlinna,,Finland,Europe,61,24.46667,Composer,Music,Arts,66,3382227,51246,26.5038
12307,Gustave Flaubert,Male,1821,1880,Rouen,,France,Europe,49.44,1.1,Writer,Language,Humanities,68,6467167,95105,26.5036
105931,Lady Godiva,Female,990,1067,Coventry,,United Kingdom,Europe,52.6,-1.6,Social Activist,Activism,Public Figure,41,5298269,129226,26.4919
11955,George H. W. Bush,Male,1924,2018,Boston,MA,United States,North America,42.25,-71.06667,Politician,Government,Institutions,109,21361900,195981,26.4172
13509,H. P. Lovecraft,Male,1890,1937,Providence,RI,United States,North America,41.82361,-71.42222,Writer,Language,Humanities,62,11855235,191213,26.3853
16555,John the Evangelist,Male,15,100,Jerusalem,,Israel,Asia,31.78333,35.21667,Writer,Language,Humanities,28,2209312,78904,26.3811
2241,Antonio Salieri,Male,1750,1825,Legnago,,Italy,Europe,45.19444,11.3125,Composer,Music,Arts,52,4543173,87369,26.3772
16844,Kofi Annan,Male,1938,2018,Kumasi,,Ghana,Africa,6.66667,-1.61667,Diplomat,Government,Institutions,104,6811032,65491,26.3496
3747,Bill Gates,Male,1955,2020,Seattle,WA,United States,North America,47.60972,-122.33306,Businessperson,Business,Business & Law,123,54216010,440781,26.3477
498263,Thutmose I,Male,-1520,-1493,Other,,Unknown,Unknown,,,Politician,Government,Institutions,39,734919,18844,26.347
20796,Malcolm X,Male,1925,1965,Omaha,NE,United States,North America,41.31667,-95.98333,Social Activist,Activism,Public Figure,70,25768520,368122,26.3226
338378,Gaozu of Han,Male,-255,-195,Pei County,,China,Asia,,,Politician,Government,Institutions,29,2544633,87746,26.3039
3356,Bill Clinton,Male,1946,2020,Hope,AR,United States,North America,33.66778,-93.59,Politician,Government,Institutions,118,31143787,263930,26.273
44656,Domenico Scarlatti,Male,1685,1757,Naples,,Italy,Europe,40.845,14.25833,Composer,Music,Arts,52,1977649,38032,26.2628
10277,Ennio Morricone,Male,1928,2020,Rome,,Italy,Europe,41.9,12.5,Composer,Music,Arts,54,7516230,139189,26.2621
146803,Leif Ericson,Male,970,1020,Other,,Iceland,Europe,65,-18,Explorer,Explorers,Exploration,70,4615953,65942,26.2478
27069,Søren Kierkegaard,Male,1813,1855,Copenhagen,,Denmark,Europe,55.67611,12.56833,Philosopher,Philosophy,Humanities,87,10385426,119373,26.2444
152833,Sitting Bull,Male,1831,1890,Grand River,ND,United States,North America,,,Politician,Government,Institutions,69,5806146,84147,26.2439
872,Akira Kurosawa,Male,1910,1998,Tokyo,,Japan,Asia,35.6,139.73333,Film Director,Film And Theatre,Arts,102,9833860,96410,26.2358
24509,Pierre Curie,Male,1859,1906,Paris,,France,Europe,48.8567,2.3508,Physicist,Natural Sciences,Science & Technology,79,3215977,40709,26.2306
8520,Dmitri Shostakovich,Male,1906,1975,Saint Petersburg,,Russia,Europe,59.95,30.3,Composer,Music,Arts,62,5642495,91008,26.2249
17902,Leonhard Euler,Male,1707,1983,Basel,,Switzerland,Europe,47.56667,7.6,Mathematician,Math,Science & Technology,108,13495418,124958,26.2223
9962,Eleanor of Aquitaine,Female,1122,1204,Bordeaux,,France,Europe,44.84,-0.58,Companion,Companions,Public Figure,46,4570041,99349,26.221
